post_url,date,page_name,page_url,page_subscriber_number
https://www.facebook.com/100PercentFEDUp/photos/a.330374477016724/3201797096541100/,2020-07-31,100 Percent FED Up,https://www.facebook.com/100PercentFEDUp/,1669599
https://www.facebook.com/cambodianmedia/posts/4177267408956983,2020-11-19,Cambodian Broadcasting Network,https://www.facebook.com/cambodianmedia,49908
https://www.facebook.com/192579757479228/posts/3690526534351182,2020-05-12,Nibiru Facts/Elenin Facts/2012/NWO/FEMA/Earth Quakes/T Cyclones etc,https://www.facebook.com/Nibiru-FactsElenin-Facts2012NWOFEMAEarth-QuakesT-Cyclones-etc-192579757479228/,17372
https://www.facebook.com/ChineseForTrump/posts/3143770409183438,2020-11-20,Chinese Immigrants For Trump - 华裔美国人挺川普,https://www.facebook.com/ChineseForTrump/,1482
https://www.facebook.com/Thedagshow/posts/691892901728206,2020-11-06,The Dag Show,https://www.facebook.com/Thedagshow,1280
https://www.facebook.com/106142284337349/posts/202004034751173,2020-09-26,Ijele Speaks,https://www.facebook.com/Ijele-Speaks-106142284337349,27686
https://www.facebook.com/thepatriotswhistle/posts/2896176873935791,2020-11-11,The Patriots Whistle,https://www.facebook.com/thepatriotswhistle,2419
https://www.facebook.com/normalsarepissed/posts/629298784345631,2020-05-18,Normals Are Pissed,https://www.facebook.com/normalsarepissed/,12803
https://www.facebook.com/crazyhorsebkk/posts/1180072679020448,2020-06-10,Crazy Horse BKK,https://www.facebook.com/crazyhorsebkk,607
https://www.facebook.com/231483723608235/posts/3537821632974411,2020-11-20,Botanica Health,https://www.facebook.com/botanicahealth.co.uk/,2303
https://www.facebook.com/1391741607799474/posts/2020931161547179,2020-11-10,Trump / Buchanan - News,https://www.facebook.com/Trump-Buchanan-News-1391741607799474,395
https://www.facebook.com/StopOCSmartMeters/posts/3513789428711059,2020-10-17,Stop OC Smart Meters,https://www.facebook.com/StopOCSmartMeters,2828
https://www.facebook.com/229396640773248/posts/1386602938385940,2020-11-18,Sybil still says stuff,https://www.facebook.com/Sybil-still-says-stuff-229396640773248/,217
https://www.facebook.com/143745137930/posts/10158487533967931,2020-10-20,National Vaccine Information Center,https://www.facebook.com/national.vaccine.information.center/,215860
https://www.facebook.com/1485389031762998/posts/2496532373981987,2020-09-23,Shattered World Media,https://www.facebook.com/ShatteredWorldMedia/,42179
https://www.facebook.com/millionmaskmarch/posts/3132981703480068,2020-09-22,Million Mask March,https://www.facebook.com/millionmaskmarch,23342
https://www.facebook.com/337541338604/posts/10158622693538605,2020-10-05,Its So 'Dumb and Stupid' -Its Funny..,https://www.facebook.com/dumbstupidandfunny/,584964
https://www.facebook.com/westand4usa/posts/625024418376875,2020-08-25,America's Frontline Doctors,https://www.facebook.com/AmericasFrontlineDoctors/,55838
https://www.facebook.com/514127442254851/posts/1128264364174486,2020-05-13,Exit The Matrix,https://www.facebook.com/ExitTheMatrixEngel/,27017
https://www.facebook.com/1722113328082109/posts/2412471849046250,2020-07-28,Jodie Meschuk,https://www.facebook.com/jodiemeschuk/,11760
https://www.facebook.com/usatermlimits/posts/1028541507589085,2020-09-22,Term Limits in the USA,https://www.facebook.com/usatermlimits,3046
https://www.facebook.com/1022451114485171/posts/3611869668876623,2020-11-06,Ted Cruz Meme Page,https://www.facebook.com/TedCruzMemePage/,87500
https://www.facebook.com/iUseToVent/photos/p.161243838813081/161243838813081,2020-07-20,I Use to _,https://www.facebook.com/iUseToVent/,12356
https://www.facebook.com/TullyNews/posts/3385701881477561,2020-10-11,Tully News.Info,https://www.facebook.com/TullyNews,12486
https://www.facebook.com/UltimateHealthAcademy/posts/3296038773775183,2020-09-07,Ultimate Health Academy,https://www.facebook.com/UltimateHealthAcademy/,602
https://www.facebook.com/cincyfortrump/posts/1572014673000375,2020-11-18,Cincy Deplorables for Trump,https://www.facebook.com/cincyfortrump/,515
https://www.facebook.com/305526153367218/posts/690379294881900,2020-08-07,Libertarians: Diligently Plotting to Take Over the World & Leave You Alone,https://www.facebook.com/Freedom.Libertarians/,61175
https://www.facebook.com/TheRationalCapitalist/posts/3167871333323111,2020-11-05,The Rational Capitalist,https://www.facebook.com/TheRationalCapitalist/,638
https://www.facebook.com/226832690842311/posts/1524139211111646,2020-08-07,Alcona County Republicans,https://www.facebook.com/Alcona-County-Republicans-226832690842311,1044
https://www.facebook.com/Trump4POTUS2020/posts/2743988079250460,2020-11-06,Trump Nation,https://www.facebook.com/Trump4POTUS2020,917
https://www.facebook.com/104622279580575/posts/3428006763908760,2020-10-07,NGO News,https://www.facebook.com/NGONewsLive/,30485
https://www.facebook.com/R3ALPATRI0TS/posts/4590569597683639,2020-11-01,Real Patriots,https://www.facebook.com/R3ALPATRI0TS,94
https://www.facebook.com/2atees1/posts/1565864156938115,2020-11-10,2atees1,https://www.facebook.com/2atees1/,16824
https://www.facebook.com/747176702290472/posts/1329536070721196,2020-11-21,RoughWriters,https://www.facebook.com/RoughWritersIPC/,12195
https://www.facebook.com/64162630683/posts/10156872415530684,2020-04-28,I Love Carbon Dioxide,https://www.facebook.com/iloveco2/,19878
https://www.facebook.com/SolomonsPorch.TV/posts/10159030936427147,2020-11-06,SolomonsPorch.TV,https://www.facebook.com/SolomonsPorch.TV/,4650
https://www.facebook.com/57321004972/posts/10159197927564973,2020-11-10,Darin Southam,https://www.facebook.com/darinsouthamfan/,51446
https://www.facebook.com/BumpforTrump/posts/1772024672958825,2020-10-13,Bump for Trump,https://www.facebook.com/BumpforTrump,652
https://www.facebook.com/marklevinshow/posts/10158974608048832,2020-10-05,Mark Levin,https://www.facebook.com/marklevinshow,1640309
https://www.facebook.com/TamiMarlerMBA/posts/1405119529694958,2020-11-04,Tami Marler,https://www.facebook.com/TamiMarlerMBA/,2223
https://www.facebook.com/958171017701055/posts/1364145597103593,2020-05-15,Liberty Memes Against The Machine,https://www.facebook.com/ORWELLIANDANKNESS/,18020
https://www.facebook.com/TRUMPforAmericaToo/posts/2740609999593961,2020-09-03,Trump for America,https://www.facebook.com/TRUMPforAmericaToo/,1541
https://www.facebook.com/aAdorableDeplorables/posts/2767701796795463,2020-05-11,Adorable Deplorables,https://www.facebook.com/aAdorableDeplorables/,569
https://www.facebook.com/1429618713952936/posts/2776280459286748,2020-09-27,Eric Nepute,https://www.facebook.com/drericnepute/,264117
https://www.facebook.com/erichorning4/posts/4061612027199644,2020-11-22,"Abductions, UFOs and Nuclear Weapons",https://www.facebook.com/erichorning4,2465
https://www.facebook.com/1719153821681875/posts/2741563652774215,2020-11-06,POVnow,https://www.facebook.com/POVnow/,16921
https://www.facebook.com/124411634236128/posts/3700201096657146,2020-10-06,An0maly,https://www.facebook.com/An0malyMusic/,953289
https://www.facebook.com/156650811060818/posts/3716209608438236,2020-11-23,Evolution's Family Tree,https://www.facebook.com/Evolutions-Family-Tree-156650811060818/,14788
https://www.facebook.com/279493139294949/posts/744101562834102,2020-09-10,Electroverse,https://www.facebook.com/electroversenet/,7057
https://www.facebook.com/TruthfulAmericanNewsNetwork/posts/370367784294448,2020-11-08,The Truthful American,https://www.facebook.com/TruthfulAmericanNewsNetwork,444
https://www.facebook.com/urbanconservativesofamericacorporate/photos/204074864417238/,2020-10-06,Urban Conservatives of America,https://www.facebook.com/urbanconservativesofamericacorporate,18881
https://www.facebook.com/1409826605740956/posts/3503589236364672,2020-10-30,Publius,https://www.facebook.com/americanpublius/,58648
https://www.facebook.com/Hhummmmmmm/posts/3946756258707938,2020-05-26,"Thoughts that make you go ""hmmmm""",https://www.facebook.com/Hhummmmmmm/,799
https://www.facebook.com/ashsoularmusic/posts/10157528847064212,2020-08-30,Ash Soular,https://www.facebook.com/ashsoularmusic/,7862
https://www.facebook.com/446678649219501/posts/670585583495472,2020-06-25,The Anti Leftist,https://www.facebook.com/theantileftist/,19211
https://www.facebook.com/comradebirb/posts/1165368203859793,2020-10-11,Comrade Birb Podcast,https://www.facebook.com/comradebirb/,12118
https://www.facebook.com/nondilutedtruth/posts/1583327451873895,2020-11-20,Demystifying The Veil,https://www.facebook.com/nondilutedtruth/,2061
https://www.facebook.com/BiomagnetismUSA/posts/2710458599065547,2020-04-01,Biomagnetism USA,https://www.facebook.com/BiomagnetismUSA,4819
https://www.facebook.com/CalumetCountyConservatives/posts/727516041307833,2020-11-06,Calumet County Conservatives,https://www.facebook.com/CalumetCountyConservatives/,1119
https://www.facebook.com/MichiganTrump/posts/2819412801673551,2020-11-07,Michigan for Trump,https://www.facebook.com/MichiganTrump/,432
https://www.facebook.com/ConservativeLife/posts/406653357368801,2020-11-20,Conservative Life,https://www.facebook.com/ConservativeLife/,638
https://www.facebook.com/1789978124426389/posts/3523274427763408,2020-11-08,Wisconsin Democracy,https://www.facebook.com/Wisconsin-Democracy-1789978124426389/,645
https://www.facebook.com/EastWestBradfordGOP/posts/3334581956654665,2020-11-22,EastWest Bradford GOP,https://www.facebook.com/EastWestBradfordGOP,18044
https://www.facebook.com/TuckerCarlsonTonight/posts/1303851553283494,2020-09-24,Tucker Carlson Tonight,https://www.facebook.com/TuckerCarlsonTonight/,2236885
https://www.facebook.com/1110464475641621/posts/3631271526894224,2020-11-05,Jews for Trump,https://www.facebook.com/JewsForTrumpPAC/,5182
https://www.facebook.com/proventrue/posts/3214749991943182,2020-07-30,The PROOF Blog,https://www.facebook.com/proventrue,15319
https://www.facebook.com/PainfulTruths2/posts/1430402553828568,2020-11-12,Painful Truths,https://www.facebook.com/PainfulTruths2,11537
https://www.facebook.com/AdamsCountyRepublicanClub/posts/1054208241673030,2020-11-17,Adams County Republican Club,https://www.facebook.com/AdamsCountyRepublicanClub,93
https://www.facebook.com/SpankTheMonkey15/posts/5131265420247478,2020-11-21,Spank - The Monkey,https://www.facebook.com/SpankTheMonkey15,1988
https://www.facebook.com/110048244160008/posts/139555621209270,2020-10-02,Conspiracion Mundial FALSA Pandemia,https://www.facebook.com/LibertadPuebloUnido/,10323
https://www.facebook.com/USADumpTrump/posts/1783306861816658,2020-11-13,Tell The USA to DUMP Trump,https://www.facebook.com/USADumpTrump/,1104
https://www.facebook.com/1829087647382275/posts/2580995298858169,2020-10-29,The Viking Christian,https://www.facebook.com/TheVikingChristian/,32140
https://www.facebook.com/browerreport/posts/2523271017972897,2020-11-11,Brower Report,https://www.facebook.com/browerreport,67762
https://www.facebook.com/742147902479671/posts/4063881513639610,2020-11-05,falseflag.info,https://www.facebook.com/falseflaginfo-742147902479671,356
https://www.facebook.com/Leo4AzHouse/posts/3366689730047478,2020-10-15,Leo Biasiucci Arizona House of Representatives LD5 Republican,https://www.facebook.com/Leo4AzHouse,1387
https://www.facebook.com/DJTMAGA/posts/3475360299179889,2020-11-20,Make America Great Again,https://www.facebook.com/DJTMAGA,169190
https://www.facebook.com/UkipSouthTyneside/posts/1385961458240825,2020-11-06,UKIP in South Tyneside Supporters  Discussion Page,https://www.facebook.com/UkipSouthTyneside/,5063
https://www.facebook.com/571488062950594/posts/3018331958266180,2020-07-29,Florida Boys TV,https://www.facebook.com/FloridaBoysTv/,10539
https://www.facebook.com/NewsAmmo/posts/697398010985831,2020-09-23,NewsAmmo,https://www.facebook.com/NewsAmmo/,191
https://www.facebook.com/TechBank2017/posts/1465528670318877,2020-11-21,TechBank,https://www.facebook.com/TechBank2017/,2926
https://www.facebook.com/666122390155956/posts/3001416559959849,2020-11-17,The Cruz Liberty Revolution,https://www.facebook.com/The-Cruz-Liberty-Revolution-666122390155956/,11473
https://www.facebook.com/venturacountylibertarians/posts/3523731587696512,2020-11-21,Libertarian Party Ventura County,https://www.facebook.com/venturacountylibertarians/,731
https://www.facebook.com/theorganichousewife/posts/3687673217913782,2020-07-29,The Organic Housewife,https://www.facebook.com/theorganichousewife/,794
